student,item
sranglemu,Cottonmouth
msherrardmv,"Skink, african"
yclapisonmw,White rhinoceros
ncastagnerimx,"Pigeon, wood"
fbrunskillmy,"Bat, asian false vampire"
bmellymz,"Brocket, red"
phryncewiczn0,"Teal, hottentot"
jdyshartn1,"Elk, Wapiti"
lbaben2,Huron
atrottonn3,Sulfur-crested cockatoo
wjerroldn4,Southern ground hornbill
dbrandassin5,Red lava crab
amaddysonn6,Cape white-eye
mstollenwerckn7,"Bandicoot, southern brown"
kdorbinn8,"Boubou, southern"
kcancottn9,"Hen, sage"
pwoolandna,"Finch, common melba"
sskinnb,Brown pelican
dhathwaync,"Genet, small-spotted"
gferronetnd,North American beaver
damsbergerne,"Possum, pygmy"
mmayhownf,Praying mantis (unidentified)
jexallng,Magnificent frigate bird
tsimonnetnh,Rock dove
tadanezni,Ovenbird
hlombardonj,"Tortoise, radiated"
jhassernk,Warthog
jeulernl,"Pheasant, ring-necked"
snewlannm,Red kangaroo
wchadwicknn,"Gull, kelp"
ifargherno,Barking gecko
ejollandsnp,"Macaw, green-winged"
bcoleridgenq,"Stork, woolly-necked"
nfostennr,"Loris, slender"
psellarsns,Whip-tailed wallaby
msidlownt,Cape wild cat
hchinnerynu,Woodchuck
frosnv,"Alligator, american"
bcutmarenw,Red deer
jwhittiernx,Sloth bear
knurseyny,Mountain duck
mboldingnz,"Owl, australian masked"
lmateikoo0,Mexican beaded lizard
lsnellero1,Arctic ground squirrel
sstandrino2,"Heron, yellow-crowned night"
lmacinerneyo3,"Seal, northern elephant"
eespositao4,Reindeer
epedleyo5,"Drongo, fork-tailed"
keburneo6,Hudsonian godwit
vlaiteo7,"Squirrel, antelope ground"
jsydeso8,"Lemur, sportive"
fpearcho9,Gray heron
eyurkovoa,Thomson's gazelle
eolliffob,"Sunbird, lesser double-collared"
mmcnirlanoc,Southern brown bandicoot
jcosensod,"Crane, sarus"
rsidlowoe,"Lizard, mexican beaded"
djagielloof,"Lemur, grey mouse"
lpontenog,"Bear, grizzly"
amumbrayoh,"Swan, black"
msamueloi,Steller sea lion
jwakleyoj,"Eagle, pallas's fish"
vboundleyok,White-fronted bee-eater
pwibberleyol,Kaffir cat
rsheronom,"Screamer, crested"
ypindellon,Black-cheeked waxbill
adundridgeoo,Red-tailed cockatoo
hfeldmusop,"Hen, sage"
blynasoq,"Cobra, egyptian"
kperazzoor,Long-tailed jaeger
hhussellos,Brush-tailed rat kangaroo
ccarletot,"Kudu, greater"
pmcilhargaou,"Hornbill, leadbeateri's ground"
cgrishinov,Pied avocet
mjaksicow,Galapagos mockingbird
kfebryox,Eurasian hoopoe
mesgateoy,Ornate rock dragon
cpodmoreoz,"Squirrel, golden-mantled ground"
apitcaithlyp0,"Owl, white-browed"
bkyntonp1,Cattle egret
kdumphryp2,"Fox, blue"
bseep3,Spectacled caiman
lwressellp4,"Gull, kelp"
cgeerdtsp5,Ferruginous hawk
dgwiltp6,"Quoll, eastern"
ftuitep7,Lava gull
lstonebanksp8,Tailless tenrec
jgrobp9,"Monkey, red howler"
csummerlypa,Red-winged blackbird
kmaccheynepb,Black-winged stilt
mcourtesepc,"Starling, greater blue-eared"
rarlidgepd,River wallaby
gmatelyunaspe,"Woodpecker, downy"
rbrindleypf,"Bird, magnificent frigate"
zswinglehurstpg,"Lion, galapagos sea"
tpaolinoph,Desert kangaroo rat
ckingabypi,"Deer, red"
rcattachpj,"Egret, cattle"
clopepk,"Hawk-eagle, crowned"
uquaifepl,Glossy ibis
mfillgatepm,Mule deer
hcorsspn,"Armadillo, giant"
tharmerpo,Madagascar fruit bat
pscogganspp,White-lipped peccary
mwinkpq,Brolga crane
linglefieldpr,Tawny frogmouth
enixps,Green vine snake
blimbertpt,Platypus
alionelpu,Horned puffin
mtipplepv,Potoroo
livanchovpw,Golden-mantled ground squirrel
rcasarinopx,"Dragonfly, russian"
afredepy,Galapagos hawk
smcquadepz,"Wagtail, african pied"
aorsmanq0,"Heron, yellow-crowned night"
stomasq1,"Pelican, brown"
dshacklefordq2,Blackbuck
edeq3,Gemsbok
kwinnettq4,Blue waxbill
tmacpakeq5,Woodrat (unidentified)
adunstoneq6,"Armadillo, common long-nosed"
jtrubshawq7,Bottle-nose dolphin
fmcavaddyq8,"Snake, eastern indigo"
rmcinultyq9,"Lion, asian"
edonneqa,"Bushbaby, large-eared"
seisakqb,Kalahari scrub robin
akaleqc,"Crow, house"
amaddickqd,"Weaver, red-billed buffalo"
jebbingsqe,Emerald green tree boa
lwyldboreqf,Cobra (unidentified)
cpaveyqg,"Shrike, southern white-crowned"
vundrillqh,Dromedary camel
ooddeyqi,"Booby, blue-faced"
cbettesworthqj,Blackish oystercatcher
jspillaneqk,North American river otter
nbruckentalql,Curve-billed thrasher
mfifieldqm,Striped hyena
cswatridgeqn,Cuis
kspicerqo,"Gull, herring"
nklaiserqp,Australian sea lion
jgyseqq,"Shrike, crimson-breasted"
vlackeyqr,"Drongo, fork-tailed"
cpitkaithlyqs,"Zorro, common"
scauldfieldqt,"Chickadee, black-capped"
ogauchequ,American racer
tmorseqv,Western lowland gorilla
jfelthamqw,"Possum, common brushtail"
sklimukqx,"Goose, cereopsis"
spetrichatqy,Platypus
bbrookerqz,"Porcupine, indian"
sishamr0,"Kite, black"
cusherr1,"Kingfisher, white-throated"
wpiggottr2,Native cat
ader3,Western patch-nosed snake
cwalkdenr4,"Dove, mourning collared"
npitkeathlyr5,Red-cheeked cordon bleu
tbarkhouser6,Gambel's quail
tnorkerr7,"Legaan, water"
cgowanlockr8,"Anteater, giant"
bgonsalvor9,"Grebe, little"
ecianira,"Owl, burrowing"
mgainerb,Savanna fox
lsandallrc,"Gecko, tokay"
rblackadderrd,"Possum, ring-tailed"
hsheldrickre,"Macaque, japanese"
clorainerf,Feral rock pigeon
mpeedellrg,Serval
bcolecroughrh,South American meadowlark (unidentified)
dcarncrossri,"Mongoose, yellow"
mrizzottorj,Ornate rock dragon
iellamsrk,American badger
jtopperrl,Radiated tortoise
dogdenrm,Springbok
hbythewayrn,"Crow, house"
nallseppro,"Cat, tiger"
tpinxtonrp,"Cat, miner's"
rjurgensonrq,African ground squirrel (unidentified)
ltomczakrr,Southern elephant seal
