habit,login,location,time
1,cfritchleyh5,Villarrica,4:10 AM
1,hupsaleh6,Candelaria,5:47 AM
3,fdeh7,Regla,11:51 AM
3,hmagneh8,Maiduguri,1:32 PM
1,cjelleyh9,Villa Allende,7:43 PM
2,cludlamha,Kubanskiy,6:58 PM
2,tegdalhb,Padangcermin,9:50 AM
1,mjacophc,Talitsa,7:58 AM
3,csabatierhd,Rozhnyativ,1:41 PM
2,xcleeveshe,San Pablo,8:34 PM
1,ibotwoodhf,Mekarjaya,12:31 PM
1,rmcharryhg,Tibillo,1:02 AM
2,lmartignonihh,Heemstede,6:11 PM
3,eezzlehi,Al ‘Ashshah,8:31 AM
3,tboatmanhj,Baquero Norte,1:06 PM
4,jgorellihk,Mora,2:16 AM
1,gpeddowehl,Sumurasin,2:53 PM
2,hmatheyhm,Wisła,6:18 AM
3,lledamunhn,Ostuncalco,6:01 PM
1,njarnellho,Mori,10:17 AM
2,tklousnerhp,Doumen,1:48 PM
1,genrigohq,Kayakent,6:06 AM
4,nspilletthr,Itzig,7:19 PM
3,mpudenhs,Nakasongola,3:52 AM
1,tpeeryht,Višnjićevo,9:02 PM
1,rbaskeyfiedhu,Dongping,3:28 PM
3,tofferhv,Iksan,1:57 AM
3,linglefieldhw,Quchanghī,7:12 PM
2,cmorhallhx,Abbeville,4:05 AM
1,gchaudronhy,Tiedonglu,6:43 AM
2,jwaldenhz,Zhengmo,3:48 AM
3,ewhykei0,Kalatongke,11:28 AM
4,hbaikei1,Klyuchevsk,8:19 PM
3,glairdi2,Chão,8:02 AM
2,mcoburni3,Gaoshi,4:58 AM
2,mdarlingi4,São Sebastião,6:59 PM
2,jdreusi5,Kunčina,11:15 PM
1,nrameleti6,Bahaodi,2:33 PM
2,aeliffi7,Rukunlima Bawah,3:44 AM
1,dcarlowi8,Cergy-Pontoise,10:35 AM
2,eyewdalli9,Barcelona,12:17 PM
4,apanksia,Jatiprahu,12:11 PM
4,rtrobeyib,La Mohammedia,10:25 AM
1,cwatkissic,Kyaikkami,4:02 AM
1,drhucroftid,Wilcza,4:09 PM
1,bfowkesie,Prigrevica,2:58 AM
1,gkinnochif,Yungaisi,7:12 PM
3,sozintsevig,Severskaya,6:20 AM
4,pzellickih,Cunday,7:56 AM
3,laustinii,Aconibe,4:15 PM
3,gpennycockij,Hexi,6:01 PM
4,fpagdenik,Pontal,10:19 AM
2,fbrosekeil,Rokoy,12:22 AM
1,wvanim,Sarapul,6:40 PM
1,fbickerstethin,Demuk,1:57 AM
1,aflohardio,Chadong,1:51 AM
2,gvarrenip,Barabedang,1:17 PM
3,lpilipyakiq,Pisões,11:08 PM
3,jspellingir,Logan Lake,1:18 AM
2,ahallstoneis,San Rafael,7:24 PM
2,sstockleit,Tamel,9:36 AM
1,dwageriu,Pameungpeuk,6:57 PM
1,zaughtoniv,Novyye Gorki,9:14 PM
1,kbosmaiw,Tanjung Kidul,5:52 PM
4,adarwenix,San Miguel,1:26 AM
2,jnoddlesiy,N'Djamena,12:04 PM
3,agaishsoniz,Aristóbulo del Valle,11:52 PM
3,wabellsj0,Sendafa,5:36 AM
3,scorderj1,Delmas,2:05 AM
2,druddockj2,Dibba Al-Fujairah,2:57 PM
1,acoppj3,Hernández,8:29 PM
3,iloransj4,Surkhet,9:28 AM
4,echarkej5,Xiangyun,2:38 AM
2,ggagesj6,Bongandanga,12:47 AM
2,cnoltej7,Campina Grande,3:07 PM
1,evanyukovj8,Bolnisi,8:11 PM
4,smctrusteyj9,Suohe,11:16 AM
2,jantonognolija,Aigínio,8:10 AM
3,gbuxtonjb,Lengkeng,12:12 AM
1,nantoschjc,Kontagora,7:06 PM
2,hsiblyjd,Kobylanka,5:10 PM
1,fleje,Atouguia,8:35 PM
1,tdulantyjf,Liqiao,5:07 AM
3,khodgenjg,Kendal,9:08 AM
3,ithewsjh,Colonia Wanda,10:47 AM
4,dhaithji,Pinamalayan,1:11 PM
2,ffleuryjj,Xilian,4:07 PM
2,haldayjk,Nanxia,2:24 AM
2,ayarrowjl,Vạn Giã,7:58 AM
2,dlourensjm,Gobernador Ingeniero Valentín Virasoro,8:36 PM
1,fwhitemanjn,Stockholm,1:55 PM
3,eelsonjo,Nesebar,5:24 PM
3,crainsdenjp,Huayuan,11:16 AM
1,jcoupejq,Gaimán,8:07 PM
1,scainesjr,Wangunsari,11:32 PM
1,npetracekjs,Muheza,5:52 PM
2,vmelbournjt,Erling,1:08 PM
4,kpopplestoneju,Monte Redondo,3:36 AM
2,alembckejv,Haodi,12:10 PM
2,bzavattierojw,Energodar,9:34 AM
4,adijx,Huaping,10:42 PM
2,jclarsonjy,Likhobory,12:01 AM
4,mrijkeseisjz,Las Lomas,7:13 PM
4,dlanferek0,Ganyesa,2:55 AM
1,mbleasdalek1,Tataouine,10:12 AM
1,agodsellk2,Zagreb - Centar,7:42 AM
3,tkeeblek3,Medeiros Neto,7:47 PM
3,gtrudgiank4,Hecheng,4:26 PM
1,aharrowellk5,Companhia de Baixo,3:26 PM
2,jcahanik6,Dalong,2:49 PM
3,gcousenk7,Onzaga,11:26 AM
2,kcolviek8,Kąty Wrocławskie,3:24 AM
2,pschusterk9,Dijon,8:26 PM
1,iwaythingka,Chilecito,4:31 PM
3,caleksankovkb,Piekielnik,11:33 AM
2,rclelandkc,Mulchén,9:17 AM
1,aedmandkd,Липково,5:53 AM
2,aacombke,Zhulin,1:17 AM
4,jixerkf,Ar Rawḑah,4:32 AM
3,ktripekg,Belozërskoye,7:16 PM
4,sinwoodkh,Nevyts’ke,5:00 PM
4,lmanifieldki,Dulce Nombre de Culmí,4:19 PM
3,sglasscottkj,Krasica,11:48 PM
1,ebrimicombekk,Xuezhen,7:40 AM
1,dbowerkl,Renyi,1:57 AM
2,nstuckleykm,Ōmuta,5:09 PM
4,gmattiazzokn,Gandu,6:36 AM
1,rkingstneko,Apitong,1:05 PM
1,cpiegromekp,San José de Colinas,5:04 PM
2,cholburnkq,Býšť,4:17 AM
1,fpadsonkr,Jiajiaying,9:39 PM
4,adyshartks,Cimanggu,7:19 AM
4,dslydekt,Smyków,1:43 PM
2,dstoppardku,Itaquaquecetuba,4:00 AM
1,jguerrerukv,Bobrovka,7:52 PM
3,edavidofkw,Shklo,10:22 PM
2,nprandonikx,Nazca,9:23 PM
3,agunnellky,Cagmanaba,2:48 PM
1,mpolglasekz,Karanyowka,5:18 PM
1,cebsworthl0,Bahay Pare,2:51 AM
1,evuittetl1,Detchino,9:13 AM
3,cmctaguel2,Maszewo Duże,10:35 AM
1,bboardsl3,Qorovulbozor,3:20 AM
4,cmckibbinl4,Suwaru,3:15 PM
4,caringtonl5,Dūst Moḩammad Khān,5:15 AM
1,mbennoel6,Ikaalinen,2:22 AM
3,kferraol7,Hanjiaji,3:18 AM
2,vshewonl8,Bromont,3:49 AM
3,amalshingerl9,Sukmoilang,3:00 AM
3,edibenla,Balindong,7:20 PM
4,phabbijamlb,Tlogotunggal,3:08 PM
2,lswordlc,Beloostrov,1:56 AM
2,mhedmanld,Trzin,3:02 AM
2,cdeile,Del Valle,9:54 AM
4,bcordeslf,Paris 01,6:42 AM
4,kgiblettlg,Hangbu,6:13 PM
1,esallinglh,Maicao,7:44 PM
3,ctryli,San Isidro,7:26 PM
2,hklimkowskilj,Quintães,11:28 AM
4,vbearelk,Puerto Mayor Otaño,10:45 AM
3,xleemanll,Matanza,2:35 AM
1,tbeneslm,Malvinas Argentinas,7:43 PM
1,nravenshawln,Žirovnica,11:06 PM
1,lledramlo,Rafael Perazza,6:44 PM
1,gwaszczyklp,Niort,10:50 PM
1,sfearensidelq,Daleman,10:25 AM
1,jbarensenlr,Ibarreta,4:58 PM
2,espratleyls,Shaxi,12:34 PM
1,zpaxfordelt,Cochabamba,2:07 AM
2,awadlylu,Sidamukti,7:28 AM
1,rcawleylv,Amparafaravola,8:37 AM
1,tblakemanlw,Angoulême,7:52 AM
4,dforryanlx,Miharu,3:19 PM
3,jskippingly,Trail,3:28 PM
3,rdallinderlz,El Progreso,3:49 AM
3,sashmolem0,Borås,3:00 AM
2,hbyrem1,Mao,7:51 PM
4,gfredianim2,Smārde,6:25 AM
4,eheazelm3,Paccho,2:26 AM
1,lanneym4,Ajoyani,10:02 AM
2,ahairyesm5,Bangbayang,8:07 PM
3,rrodenhurstm6,Rzeczenica,6:17 PM
2,uperksm7,Tranca,1:11 AM
3,nsinneym8,Ariquemes,3:52 AM
3,cmingauldm9,Longguang,3:19 AM
3,acordiema,Bagé,6:37 AM
4,aeakleemb,Peruíbe,2:34 PM
1,zbaertmc,Huyunxiang,11:55 AM
2,ldispencermd,Catanduva,9:06 PM
2,ekovacsme,Mariscala,11:22 AM
1,fborermf,Bacabal,12:00 PM
4,lwoodwingmg,Norfolk,6:51 PM
1,hgerattmh,Beishan,6:22 PM
3,avanmi,Cipicung,11:22 PM
4,kshovelbottommj,Tampekan,8:46 AM
2,phalifaxmk,Kuroishi,2:29 PM
4,cblofeldml,Matlang,9:11 PM
2,fwickersonmm,Quillo,4:00 PM
4,mworhammn,Maştağa,8:34 PM
1,jrenoufmo,Athens,12:53 AM
2,fkosmp,Longtian,10:07 AM
1,epanswickmq,London,10:17 PM
4,jmcnuttmr,Baojia,8:51 AM
4,bniavesms,Sūq al Khamīs,9:01 PM
3,rpostillmt,Orly aérogare,12:12 PM
3,sranglemu,Izyaslav,4:57 AM
4,msherrardmv,Kipit,11:28 AM
4,yclapisonmw,Luyang,5:04 AM
3,ncastagnerimx,Novi Travnik,10:36 PM
1,fbrunskillmy,Charlotte,5:47 AM
3,bmellymz,Clondalkin,1:30 PM
4,phryncewiczn0,Cipicung Timur,1:09 AM
3,jdyshartn1,Fanrong,5:01 PM
3,lbaben2,Longuita,5:34 PM
4,atrottonn3,Goundam,3:22 PM
3,wjerroldn4,Shangani,6:57 AM
3,dbrandassin5,Hwawŏn,2:36 PM
4,amaddysonn6,Tarhuna,3:46 PM
1,mstollenwerckn7,Yatunpu,5:38 PM
3,kdorbinn8,Nanniu,11:46 AM
2,kcancottn9,Norton,5:08 PM
2,pwoolandna,Arcachon,1:45 AM
4,sskinnb,Străşeni,10:49 AM
3,dhathwaync,Kongjiang,7:48 PM
2,gferronetnd,Nazyvayevsk,11:00 PM
1,damsbergerne,Maseru,3:55 PM
3,mmayhownf,Yoro,2:46 PM
4,jexallng,Al Masallamiyya,2:24 AM
4,tsimonnetnh,Nangkaruka,11:38 AM
2,tadanezni,Antipolo,12:11 AM
2,hlombardonj,Sanchahe,12:45 PM
4,jhassernk,Géfyra,12:49 PM
4,jeulernl,Arvika,2:31 AM
2,snewlannm,Aracruz,11:21 AM
1,wchadwicknn,Liuzhuang,7:08 PM
1,ifargherno,Compiègne,1:21 AM
2,ejollandsnp,Guadalupe,12:08 PM
3,bcoleridgenq,Zwierzyniec,6:57 AM
4,nfostennr,Qianpai,2:48 AM
1,psellarsns,Kalandagan,10:11 AM
1,msidlownt,Rueil-Malmaison,2:50 AM
4,hchinnerynu,Omīdcheh,11:16 PM
4,frosnv,Nakovo,6:34 PM
3,bcutmarenw,Inari,4:21 AM
3,jwhittiernx,Akureyri,7:04 AM
2,knurseyny,Tangqian,8:49 PM
3,mboldingnz,Morrelgonj,9:22 AM
1,lmateikoo0,Sampaloc,9:10 PM
4,lsnellero1,Sirre,1:32 PM
3,sstandrino2,Challas,7:12 AM
4,lmacinerneyo3,Budapest,10:58 AM
1,eespositao4,Kovářov,12:09 PM
1,epedleyo5,Sitiarjo,7:50 PM
2,keburneo6,Jawa,2:50 AM
3,vlaiteo7,Airmadidi,4:58 PM
1,jsydeso8,Pastores,12:48 AM
1,fpearcho9,Dordrecht,1:26 AM
3,eyurkovoa,Xinshancun,11:54 PM
4,eolliffob,Zhifang,8:52 AM
2,mmcnirlanoc,Mlanggeng,12:33 AM
1,jcosensod,Minas,2:44 AM
1,rsidlowoe,Tunguang,9:28 PM
3,djagielloof,Schieren,5:16 AM
1,lpontenog,Cisasak,11:07 PM
1,amumbrayoh,Sindou,4:26 PM
2,msamueloi,Maciejowice,4:18 PM
2,jwakleyoj,Longjumeau,9:55 AM
4,vboundleyok,Choloma,12:16 AM
1,pwibberleyol,Abhar,10:05 PM
4,rsheronom,Pukou,2:35 AM
1,ypindellon,Jingguan,5:16 PM
4,adundridgeoo,Aizi,11:31 PM
3,hfeldmusop,Lobatse,11:01 PM
4,blynasoq,Borzytuchom,11:58 PM
2,kperazzoor,Daytona Beach,9:55 PM
4,hhussellos,Połajewo,2:58 PM
2,ccarletot,Khārān,12:30 AM
2,pmcilhargaou,Göteborg,4:11 AM
2,cgrishinov,Hội An,7:38 AM
3,mjaksicow,Citeureup,10:05 PM
4,kfebryox,Vila Fria,4:36 PM
1,mesgateoy,Huxi,8:19 AM
1,cpodmoreoz,Zhouzhuang,7:43 AM
1,apitcaithlyp0,San Vicente,10:45 PM
3,bkyntonp1,Nikol’sk,2:42 PM
3,kdumphryp2,Kamionka Strumitowa,12:38 AM
3,bseep3,Ishim,3:31 PM
2,lwressellp4,Marseille,8:36 PM
3,cgeerdtsp5,Tomar,9:33 AM
1,dgwiltp6,Alanga,12:43 PM
3,ftuitep7,Saint-Quentin,2:12 AM
4,lstonebanksp8,Sonsorol Village,9:29 PM
4,jgrobp9,Ystad,1:27 PM
2,csummerlypa,Batangtoru,11:54 PM
4,kmaccheynepb,Hantara,4:51 AM
4,mcourtesepc,Iguape,6:28 AM
2,rarlidgepd,Weda,12:31 PM
2,gmatelyunaspe,Antes,4:30 PM
4,rbrindleypf,Tuymazy,7:39 PM
2,zswinglehurstpg,Diang,4:06 PM
2,tpaolinoph,Yingta,5:35 PM
4,ckingabypi,Daet,12:16 PM
3,rcattachpj,Cavadas,11:38 PM
4,clopepk,Rangxi,10:03 PM
3,uquaifepl,Baghlān,9:46 PM
3,mfillgatepm,Zagórnik,11:20 PM
3,hcorsspn,Revolucion,1:26 PM
2,tharmerpo,Daxi,5:22 PM
1,pscogganspp,L’govskiy,7:47 AM
2,mwinkpq,Santa Cruz do Bispo,11:02 AM
1,linglefieldpr,Korsze,1:57 AM
2,enixps,Xixiang,4:36 PM
1,blimbertpt,Dadapan,7:03 PM
1,alionelpu,Lahad Datu,1:08 AM
1,mtipplepv,Arras,9:32 PM
4,livanchovpw,Shilovo,5:42 AM
1,rcasarinopx,Cirumput,3:49 AM
3,afredepy,Secang Barat,8:30 AM
2,smcquadepz,Yuanping,12:27 PM
3,aorsmanq0,Kiarajangkung,12:44 PM
3,stomasq1,Jaú,10:43 PM
4,dshacklefordq2,Lincheng,3:52 AM
2,edeq3,Pangrumasan,9:37 PM
4,kwinnettq4,Naas,7:40 AM
2,tmacpakeq5,Jemielno,1:59 PM
1,adunstoneq6,Zolotonosha,2:51 PM
1,jtrubshawq7,Cordeiro,6:22 PM
4,fmcavaddyq8,Visim,11:25 PM
2,rmcinultyq9,Al Khafsah,6:58 AM
4,edonneqa,Changshan,5:25 PM
2,seisakqb,Felgueiras,11:30 AM
1,akaleqc,Cha’anpu,8:51 AM
1,amaddickqd,Payabon,1:08 AM
2,jebbingsqe,Coxim,11:44 PM
1,lwyldboreqf,Söderköping,5:01 AM
2,cpaveyqg,Ke’erlun,6:06 PM
1,vundrillqh,Niemodlin,1:11 PM
4,ooddeyqi,Dunkerque,2:54 PM
3,cbettesworthqj,Pepe,10:04 AM
3,jspillaneqk,Gaoqiao,1:58 AM
4,nbruckentalql,Karangbayat,3:15 PM
3,mfifieldqm,Sattahip,7:01 AM
4,cswatridgeqn,Matai,10:23 AM
3,kspicerqo,Cereté,8:41 PM
1,nklaiserqp,Stepnica,6:08 AM
1,jgyseqq,Gaopi,11:52 PM
4,vlackeyqr,Mombok,1:47 AM
4,cpitkaithlyqs,Dongming,4:54 PM
3,scauldfieldqt,Ngembel,3:07 AM
4,ogauchequ,Naju,4:36 AM
2,tmorseqv,Sukarama,6:31 PM
1,jfelthamqw,Foshan,9:26 PM
2,sklimukqx,Listowel,4:20 AM
3,spetrichatqy,Amaigbo,4:18 PM
2,bbrookerqz,Soasio,6:50 PM
3,sishamr0,Dębowiec,1:08 PM
4,cusherr1,Wangchang,12:27 AM
1,wpiggottr2,Niba,6:49 AM
4,ader3,Rezé,10:51 AM
4,cwalkdenr4,Banfora,4:16 PM
4,npitkeathlyr5,Gorzyce,2:50 PM
2,tbarkhouser6,Hrochův Týnec,1:06 AM
3,tnorkerr7,Gaoqiu,5:16 PM
1,cgowanlockr8,Utrecht (stad),6:15 AM
3,bgonsalvor9,Dawuhan,9:12 AM
2,ecianira,Pancheng,3:17 PM
4,mgainerb,Poncokusumo,7:35 AM
3,lsandallrc,Ojo de Agua,8:49 AM
4,rblackadderrd,Torrance,7:41 AM
1,hsheldrickre,Oliveirinha,2:29 PM
2,clorainerf,Tomé,6:00 AM
1,mpeedellrg,Bonao,8:02 AM
1,bcolecroughrh,Lišov,6:46 PM
3,dcarncrossri,Ma’ao,7:52 PM
2,mrizzottorj,Saint-Quentin-en-Yvelines,4:10 AM
2,iellamsrk,Svoge,1:21 AM
1,jtopperrl,Jinniu,1:10 PM
1,dogdenrm,Aba,7:24 AM
2,hbythewayrn,Curumaní,2:21 AM
4,nallseppro,Batangtoru,7:12 PM
4,tpinxtonrp,Santo Amaro,9:49 PM
4,rjurgensonrq,Bintuni,7:57 PM
1,ltomczakrr,Chon Daen,5:28 PM
